Day,Month,Year,Date,Open,High,Low,Close,Adj Close,Volume,Average,,
11,3,2021,11/3,129.5,130.462494,127.345001,129.934998,129.816849,29991600,128.9037475,,
12,3,2021,12/3,126.482498,128.887497,125.900002,128.559998,128.4431,24396400,127.3937495,,
15,3,2021,15/3,128.647507,132.067505,127.672501,131.912506,131.792572,22198800,129.870003,,
16,3,2021,16/3,133.565002,135.125,131.167496,132.912506,132.791672,27212800,133.146248,,
17,3,2021,17/3,130.397507,134.532501,129.895004,133.412506,133.291199,24386400,132.2137525,,
18,3,2021,18/3,131.365005,131.839996,127.169998,127.224998,127.109322,29389600,129.504997,,
19,3,2021,19/3,127.5,129.214996,126.125,128.457504,128.340714,29920800,127.669998,,
22,3,2021,22/3,129.127502,133.945007,129.067505,131.862503,131.742599,29780400,131.506256,,
23,3,2021,23/3,132.542496,133.445007,130.212494,130.707504,130.588654,22204800,131.8287505,,
24,3,2021,24/3,131.512497,131.592499,126.3675,126.43,126.315041,24584000,128.9799995,,
25,3,2021,25/3,124.995003,127.147499,122.720001,125.352501,125.238525,29514400,124.93375,,
26,3,2021,26/3,125.544998,128.5625,123.735001,128.392502,128.275757,36396800,126.1487505,,
29,3,2021,29/3,128.202499,130.625,127,129.482498,129.364746,27352000,128.8125,,
30,3,2021,30/3,128.419998,129.752502,127.050003,128.717499,128.600464,20020400,128.4012525,,
31,3,2021,31/3,130.154999,134.705002,129.824997,133.482498,133.36113,31477600,132.2649995,,
1,4,2021,1/4,135.722504,138.699997,135.112503,138.117493,137.991913,30827600,136.90625,,
5,4,2021,5/4,138.675003,140.139999,137.330002,139.875,139.747818,25567200,138.7350005,,
6,4,2021,6/4,139.997498,140.542496,137.735001,138.615005,138.488968,19174400,139.1387485,,
7,4,2021,7/4,138.807495,142.434998,137.115005,141.434998,141.306396,25128400,139.7750015,,
8,4,2021,8/4,142.527496,144.714996,142.490005,143.169998,143.039825,24441600,143.6025005,,
9,4,2021,9/4,142.139999,144.080002,141.75,144,143.869064,19517200,142.915001,,
12,4,2021,12/4,142.897507,153.524994,141.392502,152.089996,151.951706,86932400,147.458748,,
13,4,2021,13/4,152.315002,157,151.257507,156.794998,156.65242,67621200,154.1287535,,
14,4,2021,14/4,156.25,157.205002,152.274994,152.770004,152.631104,38550000,154.739998,,
15,4,2021,15/4,156.625,162.142502,156.315002,161.372498,161.225784,59848000,159.228752,,
16,4,2021,16/4,160.529999,161.657501,158.652496,159.125,158.980316,33520800,160.1549985,,
19,4,2021,19/4,155.365005,158.074997,152.330002,153.617493,153.477829,40442000,155.2024995,,
20,4,2021,20/4,153.232498,154.970001,149.630005,151.712494,151.574554,33413200,152.300003,,
21,4,2021,21/4,151.1875,153.625,151.022507,153.604996,153.465332,21677600,152.3237535,,
22,4,2021,22/4,153.75,154.384995,147.835007,148.502502,148.367493,27778800,151.110001,,
23,4,2021,23/4,149.342499,153.350006,149.002502,152.652496,152.513702,22750000,151.176254,,
26,4,2021,26/4,151.850006,154.789993,151.25,154.779999,154.639252,19779600,153.0199965,,
27,4,2021,27/4,155.785004,156.705002,153.544998,153.817505,153.677643,16457200,155.125,,
28,4,2021,28/4,153.645004,155.322495,152.154999,152.767502,152.628601,20941600,153.738747,,
29,4,2021,29/4,154,154.365005,150.714996,153.247498,153.108154,17319600,152.5400005,,
30,4,2021,30/4,151.744995,153.649994,149.970001,150.095001,149.958527,20191200,151.8099975,,
3,5,2021,3/5,151.25,152.467499,147.875,148.367493,148.23259,20391200,150.1712495,,
4,5,2021,4/5,146.372498,146.375,140.102493,143.512497,143.382019,40532400,143.2387465,,
5,5,2021,5/5,147.089996,148.134995,143.875,144.585007,144.453537,29202400,146.0049975,,
6,5,2021,6/5,144.952499,145.712494,142.179993,145.229996,145.097931,19338000,143.9462435,,
7,5,2021,7/5,148.082504,149.707504,146.717499,148.122498,147.987808,22932800,148.2125015,,
10,5,2021,10/5,147.872498,148.059998,142.5,142.657501,142.527786,26890400,145.279999,,
11,5,2021,11/5,138.25,143.547501,137.5,143.0625,142.932419,28558400,140.5237505,,
12,5,2021,12/5,140.095001,142.602493,137.092499,137.585007,137.4599,30340800,139.847496,,
13,5,2021,13/5,140.337494,140.807495,134.589996,136.652496,136.528244,28540400,137.6987455,,
14,5,2021,14/5,138.899994,143.279999,137.485001,142.429993,142.300491,25861600,140.3825,,
17,5,2021,17/5,141.570007,141.692505,138.535004,141.654999,141.526199,21698000,140.1137545,,
18,5,2021,18/5,142.669998,144.042496,140.039993,140.157501,140.030075,18625600,142.0412445,,
19,5,2021,19/5,135.664993,140.794998,135.432495,140.657501,140.529602,34400000,138.1137465,,
20,5,2021,20/5,143.024994,146.837494,142.705002,146.125,145.992126,32159200,144.771248,,
21,5,2021,21/5,151.637497,152.220001,148.695007,149.917496,149.781158,67299200,150.457504,,
24,5,2021,24/5,152.125,157.449997,151.759995,156.119995,155.978043,55481600,154.604996,,
25,5,2021,25/5,157.660004,158.184998,154.824997,156.477493,156.335236,43540800,156.5049975,,
26,5,2021,26/5,157.342499,157.9375,155.862503,157,156.857254,37044000,156.9000015,,
27,5,2021,27/5,156.997498,157.5,154.600006,154.880005,154.739197,58147600,156.050003,,
28,5,2021,28/5,155.009995,162.774994,155.009995,162.445007,162.297302,64453600,158.8924945,,
1,6,2021,1/6,162.699997,163.882507,159.032501,162.645004,162.497101,47280400,161.457504,,
2,6,2021,2/6,162.522507,169.1875,162.354996,167.782501,167.629944,59416800,165.771248,,
3,6,2021,3/6,167.007507,172.589996,165.830002,169.697495,169.543198,58000800,169.209999,,
4,6,2021,4/6,171.125,176.610001,170.955002,175.782501,175.622681,61712000,173.7825015,,
7,6,2021,7/6,175.712494,178.125,171.927505,176.190002,176.0298,57575600,175.0262525,,
8,6,2021,8/6,175.272507,176.214996,172.509995,174.570007,174.411301,32384800,174.3624955,,
9,6,2021,9/6,175.157501,175.75,172.557495,173.582504,173.464432,38165600,174.1537475,,
10,6,2021,10/6,173.5,174.919998,171.759995,174.25,174.131454,28777200,173.3399965,,
11,6,2021,11/6,174.794998,179.392502,174.4375,178.252502,178.131241,41630800,176.915001,,
14,6,2021,14/6,179.059998,180.395004,176.627502,180.1875,180.064926,32137600,178.511253,,
15,6,2021,15/6,179.149994,180.162506,177.279999,177.884995,177.763977,24303200,178.7212525,,
16,6,2021,16/6,177.907501,179.547501,175.845001,178.102493,177.981339,30712400,177.696251,,
17,6,2021,17/6,177.744995,188.350006,177.5625,186.572495,186.445572,80965600,182.956253,,
