Country/Currency,currency,value,date,Day,Month,Year
Mozambique New Metical,MZN,72.542883,3/1/2022,3,1,2022
Myanmar Kyat,MMK,2021.153614,3/1/2022,3,1,2022
NL Antilles Guilder,ANG,2.048636,3/1/2022,3,1,2022
Namibia Dollar,NAD,18.126838,3/1/2022,3,1,2022
Nepal Rupee,NPR,135.236073,3/1/2022,3,1,2022
New Zealand Dollar,NZD,1.657862,3/1/2022,3,1,2022
Nicaragua Cordoba Oro,NIO,40.23002,3/1/2022,3,1,2022
Nigeria Naira,NGN,468.179638,3/1/2022,3,1,2022
North Korea Won,KPW,1022.845916,3/1/2022,3,1,2022
Norway Kroner,NOK,10.006571,3/1/2022,3,1,2022
Oman Rial,OMR,0.437546,3/1/2022,3,1,2022
Pakistan Rupee,PKR,202.580266,3/1/2022,3,1,2022
Panama Balboa,PAB,1.136737,3/1/2022,3,1,2022
Papua New Guinea Kina,PGK,4.006194,3/1/2022,3,1,2022
Paraguay Guarani,PYG,7820.825517,3/1/2022,3,1,2022
Peru Nuevo Sol,PEN,4.534052,3/1/2022,3,1,2022
Philippines Peso,PHP,57.880017,3/1/2022,3,1,2022
Poland Zloty,PLN,4.590339,3/1/2022,3,1,2022
Qatar Rial,QAR,4.137983,3/1/2022,3,1,2022
Romania New Lei,RON,4.945007,3/1/2022,3,1,2022
Russia Rouble,RUB,85.487878,3/1/2022,3,1,2022
Rwanda Franc,RWF,1153.542993,3/1/2022,3,1,2022
Samoa Tala,WST,2.955083,3/1/2022,3,1,2022
Sao Tome/Principe Dobra,STD,23523.16352,3/1/2022,3,1,2022
Saudi Arabia Riyal,SAR,4.268107,3/1/2022,3,1,2022
Serbia Dinar,RSD,117.496848,3/1/2022,3,1,2022
Seychelles Rupee,SCR,15.464136,3/1/2022,3,1,2022
Sierra Leone Leone,SLL,12791.25821,3/1/2022,3,1,2022
Singapore Dollar,SGD,1.532871,3/1/2022,3,1,2022
Solomon Islands Dollar,SBD,9.198707,3/1/2022,3,1,2022
Somali Shilling,SOS,663.713804,3/1/2022,3,1,2022
South Africa Rand,ZAR,18.115972,3/1/2022,3,1,2022
South Korea Won,KRW,1350.31653,3/1/2022,3,1,2022
